疾病,总数,详论
慢性阻塞性肺疾病,5,中西医结合治疗慢性阻塞性肺疾病急性加重期疗效观察
慢性阻塞性肺疾病,6,中西医结合治疗慢性阻塞性肺疾病急性加重期痰热壅肺证疗效观察
慢性阻塞性肺疾病,7,中西医结合治疗慢性阻塞性肺疾病并呼吸衰竭的临床研究
慢性阻塞性肺疾病,8,中西医结合治疗慢性阻塞性肺疾病急性发作期呼吸衰竭的临床观察
慢性阻塞性肺疾病,9,中西医结合治疗寒饮内停型慢性阻塞性肺疾病急性发作期的疗效观察
慢性阻塞性肺疾病,10,中西医结合治疗慢性阻塞性肺疾病急性发作期45例
慢性阻塞性肺疾病,11,中西医结合治疗煤工尘肺合并慢性阻塞性肺疾病的效果
慢性阻塞性肺疾病,12,中西医结合治疗慢性阻塞性肺疾病临床疗效分析
慢性阻塞性肺疾病,13,中西医结合治疗慢性阻塞性肺疾病的疗效及对免疫功能的影响
慢性阻塞性肺疾病,14,温阳活血法对慢性阻塞性肺疾病缓解期患者肺功能及炎症因子的影响
慢性阻塞性肺疾病,15,中西医结合治疗慢性阻塞性肺疾病急性加重期临床研究
慢性阻塞性肺疾病,16,中西医结合治疗慢性阻塞性肺疾病合并肺部感染的临床疗效观察
慢性阻塞性肺疾病,17,中西医结合治疗慢性阻塞性肺疾病急性加重期疗效观察
慢性阻塞性肺疾病,18,中西医结合治疗慢性阻塞性肺疾病疗效观察
慢性阻塞性肺疾病,19,中西医结合治疗慢性阻塞性肺疾病稳定期30例临床观察
慢性阻塞性肺疾病,20,中西医结合治疗慢性阻塞性肺疾病急性加重期疗效观察
慢性阻塞性肺疾病,21,中西医结合治疗慢性阻塞性肺疾病临床研究
慢性阻塞性肺疾病,22,中西医治疗慢性阻塞性肺疾病加重期临床研究进展
胃癌,1,中西医结合治疗中晚期胃癌64例报告
胃癌,2,中西医结合治疗中晚期胃癌的疗效分析
胃癌,3,李佩文教授防治胃癌经验总结
胃癌,4,探讨中西医结合治疗中晚期胃癌患者的临床疗效
胃癌,5,中西医结合治疗中晚期胃癌42例
胃癌,6,中西医结合在胃癌术后护理中的效果研究
心肌炎,1,小儿病毒性心肌炎中西医治疗临床疗效
心肌炎,2,儿童病毒性心肌炎的诊断和治疗
心肌炎,3,中西医结合治疗病毒性心肌炎疗效观察
心肌炎,4,中西医结合治疗小儿病毒性心肌炎护理体会
心肌炎,5,中西医结合治疗心肌炎的疗效观察
心肌炎,6,中西医结合治疗小儿急性病毒性心肌炎临床研究
心肌炎,7,中西医结合治疗小儿心肌炎临床疗效观察
足癣,1,中西医结合治疗角化鳞屑型足癣80例
产后缺乳,1,中西医结合护理干预对产后缺乳的护理效果观察
肝性脑病,1,肝性脑病的中西医结合护理体会
尿失禁,1,中西医结合治疗联合护理干预对绝经期女性压力性尿失禁的效果观察
尿失禁,2,中西医结合治疗与护理防治经尿道前列腺电切术后尿失禁的临床研究
痛风,1,中西医结合分期综合防治方案对痛风患者生活质量的影响
痛风,2,从整合医学论痛风病的综合治疗
痛风,3,中西医结合治疗急性上消化道出血合并急性痛风1例
痛风,4,中西医结合治疗痛风性肾病30例
痛风,5,急性痛风性关节炎中西医治疗研究进展
痛风,6,中西医结合分期综合治疗痛风性关节炎的随机对照临床研究
痛风,7,中西医结合治疗痛风病88例报告
痛风,8,中西医结合治疗痛风性关节炎研究现状
痛风,9,中西医结合治疗痛风性关节炎疗效观察
眩晕,1,升阳活血汤联合盐酸氟桂利嗪胶囊治疗后循环缺血性眩晕的临床疗效分析
眩晕,2,老年眩晕患者采用中西医联合护理的临床效果分析
眩晕,3,半夏白术天麻汤联合西药治疗痰浊中阻椎-基底动脉供血不足性眩晕随机平行对照研究
眩晕,4,中西医结合治疗颈性眩晕内科分析
眩晕,5,老年高血压性眩晕患者采用中西医结合治疗的效果分析
眩晕,6,中西医结合治疗眩晕临床观察
眩晕,7,中西医结合治疗眩晕症150例
眩晕,8,中西医结合疗法用于眩晕疾病治疗的效果探究
眩晕,9,基于中西医结合下的内耳眩晕症治疗研究
膜性肾病,1,中西医结合治疗特发性膜性肾病的临床研究
足跟痛症,1,中西医结合治疗足跟痛症临床疗效分析
川崎病,1,中西医结合治疗川崎病的临床效果
川崎病,2,中西医结合治疗川崎病疗效评价
肾炎,1,3例急性肾盂肾炎中西医结合诊疗体会
肾炎,2,中西医结合治疗过敏性紫癜性肾炎30例
支气管炎,1,中西医结合护理干预对慢性支气管炎患者效果及生活质量的影响
支气管炎,2,中西医结合治疗毛细支气管炎疗效观察
支气管炎,3,中西医结合治疗慢性支气管炎临床效果观察
支气管炎,4,中西医结合治疗学龄前儿童急性支气管炎108例
支气管炎,5,中西医结合治疗慢性支气管炎急性发作期的效果分析
支气管炎,6,中西医结合方法治疗急性气管-支气管炎临床疗效观察
支气管炎,7,中西医结合治疗风热犯肺证小儿急性支气管炎41例临床观察
支气管炎,8,中西医联合治疗喘息型支气管炎80例临床疗效观察
支气管炎,9,中西医结合治疗小儿急性支气管炎临床观察
银屑病,1,“从血论治”联合阿维A治疗寻常型银屑病疗效观察
银屑病,2,银屑病的中西医结合治疗综合护理分析
银屑病,3,中西医结合三联疗法治疗寻常型银屑病疗效观察
银屑病,4,寻常型银屑病的中西医结合治疗和护理
银屑病,5,中西医结合疗法治疗银屑病临床疗效及对生活质量的影响研究
银屑病,6,中西医结合治疗银屑病的临床效果观察
银屑病,7,中西医结合治疗18例泛发性脓疱型银屑病的体会
银屑病,8,中西医结合辨证治疗银屑病50例疗效观察
银屑病,9,中西医结合治疗红皮病型银屑病疗效观察
疱疹,1,针灸综合疗法治疗急性期带状疱疹膝状神经节综合征研究进展
疱疹,2,中西医结合治疗2型糖尿病合并带状疱疹临床观察
疱疹,3,中西医结合治疗带状疱疹的临床效果
疱疹,4,中西医结合治疗单纯性疱疹疗效观察的体会
疱疹,5,中西医结合治疗生殖器疱疹42例
疱疹,6,中西医结合治疗单纯疱疹病毒性角膜炎的护理分析
疱疹,7,中西医结合治疗疱疹性咽峡炎的临床观察
疱疹,8,中西医结合治疗单纯性疱疹病毒性角膜炎的临床研究
蕈样肉芽肿,1,中西医结合治疗泛发性红皮病型蕈样肉芽肿1例
增生性疤痕,1,观察中西医结合治疗增生性疤痕的临床特点
干眼症,1,中西医结合治疗干眼症结合癫痫临床疗效分析
干眼症,2,中西医结合护理干预对干眼症患者的影响效果评价
干眼症,3,中西医结合治疗微切口白内障超声乳化人工晶体植入术后干眼症36例
干眼症,4,中药热敷联合人工泪液治疗干眼症的效果观察
干眼症,5,中西医结合治疗干眼症疗效观察
干眼症,6,中西医结合治疗TansPRK术后干眼症的临床及护理观察
干眼症,7,中西医结合在泪液缺乏型干眼症中的应用效果及药物不良反应
干眼症,8,分析中西医结合方法治疗干眼症的临床效果
干眼症,9,中西医结合治疗中青年睑板腺功能障碍所致干眼症68例观察
干眼症,10,浅析中西医结合治疗干眼症结合抑郁症临床效果
干眼症,11,中西医治疗干眼症现状及展望
干眼症,12,中西医结合治疗干眼的有效性和安全性分析
肝衰竭,1,中西医结合治疗肝衰竭研究进展
肝衰竭,2,中西医结合治疗对亚急性肝衰竭人工肝支持术后T淋巴细胞和血氨的影响
视神经乳头炎,1,中西医结合治疗急性视神经乳头炎58例
子宫出血,1,经阴道超声观察中西医结合治疗功能失调性子宫出血的临床效果分析
子宫出血,2,中西医结合治疗功能性子宫出血的效果观察
子宫出血,3,中西医结合治疗围绝经期功能性子宫出血临床观察
子宫出血,4,中西医结合治疗排卵功能失调性异常子宫出血的疗效分析
子宫出血,5,中西医结合治疗更年期功能性子宫出血的疗效观察
IgA肾病,1,2683例IgA肾病患者临床特征及用药规律分析
IgA肾病,2,中医与中西医结合治疗IgA肾病的效果对比分析
IgA肾病,3,槐雪肾舒合剂辅助治疗IgA肾病疗效观察
IgA肾病,4,探讨中西医结合治疗肾病综合征表现的IgA肾病临床观察
IgA肾病,5,益肾活血祛风湿联合西药治疗IgA肾病远期疗效的临床研究
脑梗死,1,中西医结合治疗方案在脑梗死患者救治中的应用效果评价
脑梗死,2,中西医结合治疗2型糖尿病合并脑梗死临床研究
脑梗死,3,中西医结合治疗急性脑梗死临床观察
脑梗死,4,中医辨证分型治疗急性脑梗死的临床效果观察
脑梗死,5,中西医结合治疗急性脑梗死痰瘀阻络证40例临床研究
脑梗死,6,中西医结合治疗气虚血瘀型急性脑梗死的临床疗效
脑梗死,7,中西医结合治疗脑梗死的临床效果观察
脑梗死,8,中西医结合卒中单元管理模式对脑梗死急性期患者智能障碍恢复的临床观察
脑梗死,9,中西医结合治疗脑梗死急性期疗效及安全性评价
脑梗死,10,中西医结合治疗脑梗死72例疗效观察
脑梗死,11,中西医联合康复护理治疗急性脑梗死的临床观察
脑梗死,12,中西医结合治疗大面积脑梗死及早期脑出血患者的临床效果
脑梗死,13,中西医结合对急性脑梗死患者疗效及血清MCP-1、BDNF水平的影响
脑梗死,14,补阳还五汤联合阿托伐他汀配合康复疗法治疗脑梗死患者的疗效观察
脑梗死,15,Neuro DSA CT评价中西医结合治疗分水岭脑梗死疗效
脑梗死,16,中西医结合治疗脑梗死恢复期患者35例临床观察
脑梗死,17,不同方法治疗大面积脑梗死的疗效分析
脑梗死,18,中西医结合治疗脑梗死后焦虑症临床观察
脑梗死,19,中西医结合护理在提升老年脑梗死患者生活质量中的应用
脑梗死,20,针刺与温胆汤联合西药治疗脑梗死恢复期随机平行对照研究
脑梗死,21,羊藿三七胶囊治疗脑梗死的临床疗效观察
脑梗死,22,中西医结合治疗脑梗死疗效观察
脑梗死,23,中西医结合治疗急性脑梗死气虚血瘀证疗效观察
脑梗死,24,中西医结合治疗对脑梗死病人血液流变学、超氧化物歧化酶活性和神经功能的影响
脑梗死,25,中西医结合治疗脑梗死恢复期的临床观察
脑梗死,26,中西医结合法治疗动脉硬化性脑梗死的效果观察
动脉粥样硬化与血脂异常,1,"遵循专家共识,开创心血管病中西医防治新局面——访新疆医科大学副校长、新疆医科大学中医学院院长安冬青教授"
蛇串疮,1,中西医联合治疗蛇串疮的效果
失眠,1,中西医结合治疗失眠的临床疗效观察
失眠,2,中西医结合治疗痰热内扰型失眠疗效观察
失眠,3,中西医结合治疗阴虚火旺型失眠症的临床观察
失眠,4,中西医结合团体心理治疗对顽固性失眠患者疗效研究
失眠,5,李应东教授中西医结合治疗OSAHS引发失眠经验撷英
失眠,6,中西医结合治疗慢性汞中毒致失眠的临床疗效观察
失眠,7,中西医结合治疗失眠症的临床疗效观察
失眠,8,中西医结合治疗慢性失眠及戒除镇静剂成瘾后患者睡眠质量、多导睡眠图的变化
变应性鼻炎,1,变应性鼻炎的临床治疗
变应性鼻炎,2,中西医结合治疗常年性变应性鼻炎效果观察
变应性鼻炎,3,中西医结合治疗儿童变应性鼻炎致上气道咳嗽综合征疗效分析
癫痫,1,中西医结合治疗脑血管继发癫痫的临床效果观察
癫痫,2,中西医结合治疗癫痫疗效观察
癫痫,3,成人癫痫应用中西医结合治疗的临床效果研究
癫痫,4,中西医结合抗痫综合方案治疗癫痫的临床效果观察
急性膝关节滑囊炎,1,中西医结合治疗急性膝关节滑囊炎的影像学评价
湿疹,1,中西医结合疗法治疗婴幼儿湿疹的临床有效性评价
湿疹,2,中西医结合治疗慢性湿疹临床观察
湿疹,3,中西医结合治疗72例血虚风燥型手足部湿疹患者的临床观察
湿疹,4,中西医结合治疗急性湿疹42例
湿疹,5,难治性泛发性慢性湿疹中西医结合诊疗体会
湿疹,6,中西医结合治疗手部皴裂性湿疹临床观察
湿疹,7,中西医结合治疗慢性湿疹临床疗效观察
湿疹,8,中西医结合治疗亚急性湿疹疗效及安全性评价
湿疹,9,中西医结合治疗烧伤后湿疹临床疗效观察
湿疹,10,中西医结合疗法治疗肛周湿疹50例临床观察
水肿,1,白内障超声乳化吸除术后黄斑囊样水肿的中医治疗进展
水肿,2,中西医结合治疗心衰水肿34例临床观察
水肿,3,中西医结合治疗髋关节骨髓水肿疗效观察
激素依赖性皮炎,1,杨雪源教授治疗激素依赖性皮炎经验探析
高热,1,小儿高热惊厥的中西医结合治疗
高热,2,中西医结合治疗小儿病毒性感冒高热的临床效果观察
急性肾炎,1,中西医结合治疗急性肾炎的疗效观察
腰椎间盘突出,1,中西医结合治疗腰椎间盘突出急性发作临床疗效观察
腰椎间盘突出,2,中西医结合保守治疗腰椎间盘突出症临床观察
腰椎间盘突出,3,中西医结合治疗腰椎间盘突出症效果观察及护理体会
腰椎间盘突出,4,不同疗法应用于腰椎间盘突出症的临床疗效对比
腰椎间盘突出,5,中西医治疗腰椎间盘突出症效果分析
腰椎间盘突出,6,中西医结合治疗腰椎间盘突出症的临床效果观察
腰椎间盘突出,7,中西医结合治疗腰椎间盘突出症80例效果评估
腰椎间盘突出,8,腰椎间盘突出症患者生命质量的比较评价
急性化脓性骨髓炎,1,中西医结合治疗急性化脓性骨髓炎初期临床观察
小儿慢性咽炎,1,中西医结合治疗小儿慢性咽炎的效果
围绝经期综合征,1,围绝经期综合征患者的中西医治疗
血栓,1,中西医结合治疗早中期血栓闭塞性脉管炎疗效观察
血栓,2,中西医结合治疗脑血栓的疗效观察
血栓,3,中西医结合治疗2期以上血栓闭塞性脉管炎54例疗效评价
血栓,4,中西医结合治疗肺血栓栓塞症24例护理体会
血栓,5,中西医结合预防髋周骨折术后深静脉血栓的效果
黄褐,1,中西医结合治疗黄褐斑临床观察
黄褐,2,中西医结合治疗黄褐斑疗效评估
黄褐,3,中西医结合治疗女性黄褐斑疗效观察
肺结核,1,中西医结合治疗肺结核咯血临床观察
肺结核,2,对2种中西医结合的化疗方案治疗老年初治肺结核的疗效及安全性比较
肺结核,3,中西医结合治疗肺结核的临床观察
肺结核,4,中西医结合治疗耐多药肺结核50例疗效观察
肺结核,5,探讨采用中西医结合的方法在临床上治疗肺结核顽固性咯血的效果
肺结核,6,中西医结合联合支气管镜局部灌注治疗空洞型肺结核临床观察
肺结核,7,中西医结合治疗方案对肺结核肺阴虚证患者生活质量的影响
面瘫,1,中西医结合治疗静止期周围性面瘫30例
面瘫,2,中西医结合治疗贝尔氏面瘫疗效观察
面瘫,3,中西医结合治疗周围性面瘫12例的临床心得
宫腔粘连,1,中西医结合治疗中、重度宫腔粘连临床观察
宫腔粘连,2,中西医结合治疗宫腔粘连45例临床观察
甲状腺功能亢进症,1,中西医结合治疗甲状腺功能亢进症观察与护理
甲状腺功能亢进症,2,探析中西医结合疗法治疗甲状腺功能亢进症的临床疗效及安全观察
角膜溃疡,1,真菌性角膜溃疡治疗的研究进展
抑郁症,1,中西医结合治疗围绝经期重度抑郁症的效果分析
抑郁症,2,中西医结合治疗抑郁症的疗效及对患者血清单胺类神经递质的影响
抑郁症,3,中西医结合治疗精神病性症状抑郁症效果观察
抑郁症,4,中西医结合治疗抑郁症伴心脏神经症74例
白癜风,1,中西医结合治疗气滞血瘀型白癜风30例
白癜风,2,中西医结合治疗白癜风疗效的Meta分析
白癜风,3,中西医治疗儿童白癜风的研究进展
角膜内皮炎,1,中西医结合治疗角膜内皮炎疗效观察
下肢静脉功能不全,1,柳国斌教授中西医结合治疗原发性下肢静脉功能不全经验初识
反复呼吸道感染,1,清燥救肺汤加减联合西药治疗对反复呼吸道感染患儿血清免疫球蛋白及症状积分的影响
反复呼吸道感染,2,中西医结合治疗小儿支气管哮喘合并反复呼吸道感染效果分析
痛经,1,中西医联合治疗子宫腺肌症痛经评价
痛经,2,中西医结合治疗原发性痛经疗效观察
痛经,3,中西医结合治疗原发性痛经效果观察及护理
肝癌,1,原发性肝癌中西医结合治疗进展
肝癌,2,中西医结合治疗原发性肝癌40例临床疗效观察
肝癌,3,中晚期乙肝病毒性肝癌患者经中西医结合治疗的临床效果探讨
肝癌,4,中西医结合治疗原发性肝癌的临床疗效分析
肝癌,5,综合护理干预在中西医结合治疗肝癌疼痛中的实施效果研究
肝癌,6,中西医结合治疗肝癌晚期患者的护理对策
肝癌,7,73例中晚期肝癌患者的证候规律及疗效特点的初步研究
椎基底动脉硬化,1,中西医结合治疗椎基底动脉硬化致脑供血不足临床观察
结石性脓肾,1,中西医结合微创手术治疗结石性脓肾的术后并发症及疗效观察
股骨头坏死,1,中西医结合治疗早期缺血性股骨头坏死疗效观察
股骨头坏死,2,中西医结合治疗FicatI、Ⅱ期股骨头坏死疗效的Meta分析
股骨头坏死,3,中西医结合治疗早期股骨头坏死临床疗效分析
更年期综合征,1,中西医结合治疗更年期综合征新进展
更年期综合征,2,更年安神开郁方联合西药治疗肾虚肝郁型更年期综合征临床观察
肝纤维化,1,中西医结合治疗肝纤维化的效果观察与分析
肝纤维化,2,论述肝纤维化的中西医结合诊疗进展
多囊卵巢综合征,1,中西医结合治疗多囊卵巢综合征30例观察
多囊卵巢综合征,2,中西医结合治疗多囊卵巢综合征疗效分析
多囊卵巢综合征,3,中西医结合治疗多囊卵巢综合征48例
多囊卵巢综合征,4,青春期多囊卵巢综合征中西医研究进展
多囊卵巢综合征,5,孙贵香中西医结合治疗多囊卵巢综合征经验
多囊卵巢综合征,6,中西医结合治疗多囊卵巢综合征胰岛素抵抗的临床观察
多囊卵巢综合征,7,中西医结合治疗多囊卵巢综合征不孕临床疗效观察
多囊卵巢综合征,8,中西结合治疗克罗米芬无反应多囊卵巢综合征50例的临床思路构建
多囊卵巢综合征,9,中西医结合治疗多囊卵巢综合征致月经失调的临床疗效观察
多囊卵巢综合征,10,中西医结合治疗多囊卵巢综合征观察与护理
多囊卵巢综合征,11,多囊卵巢综合征药物治疗的研究概况
多囊卵巢综合征,12,中西医结合治疗多囊卵巢综合征所致不孕症的临床观察
多囊卵巢综合征,13,多囊卵巢综合征中西医治疗临床研究进展
压疮,1,压疮的中西医结合护理体会
压疮,2,中西医结合疗法对压疮的治疗与护理观察
毛细支气管炎,1,小儿毛细支气管炎中西医综合疗法的疗效及预后分析
毛细支气管炎,2,小儿毛细支气管炎应用中西医结合治疗的临床疗效研究
毛细支气管炎,3,中西医结合治疗小儿毛细支气管炎临床研究
异位妊娠,1,中西医结合三联疗法对异位妊娠保守治疗后输卵管通畅度的影响
异位妊娠,2,中西医结合保守治疗异位妊娠的护理体会
异位妊娠,3,系统评价活血化瘀中药治疗异位妊娠疗效观察
异位妊娠,4,异位妊娠中医临床治疗的前景展望
异位妊娠,5,超声检查在异位妊娠患者的早期诊断和中西医结合治疗疗效判断中的价值研究
异位妊娠,6,宫内环合并异位妊娠中西医结合保守治疗29例分析
异位妊娠,7,中西医联合保守治疗异位妊娠24例临床观察
异位妊娠,8,中西医结合治疗异位妊娠疗效观察
异位妊娠,9,中西医结合治疗宫内合并异位妊娠1例
异位妊娠,10,中西医结合保守治疗异位妊娠的疗效观察
异位妊娠,11,中西医保守治疗异位妊娠的疗效观察
异位妊娠,12,中西医结合护理在异位妊娠护理中的应用
下肢深静脉血栓,1,下肢深静脉血栓形成中西医研究进展
下肢深静脉血栓,2,中医治疗下肢深静脉血栓形成进展
下肢深静脉血栓,3,中西医结合治疗妇产科手术下肢深静脉血栓形成临床分析
下肢深静脉血栓,4,中西医结合预防膝、髋关节置换术后下肢深静脉血栓有效性的Meta分析
下肢深静脉血栓,5,下肢深静脉血栓形成的中西医结合治疗进展
妊娠剧吐,1,维生素B_(12)耳穴注射中西医结合治疗妊娠剧吐的临床研究
妊娠剧吐,2,中医外治配合治疗妊娠剧吐疗效分析
创伤骨科疾病,1,中西医结合治疗创伤骨科疾病疗效观察
胃溃疡,1,中西医结合治疗胃溃疡的效果分析
胃溃疡,2,黄芪建中汤加减合西药治疗脾胃虚寒型胃溃疡38例
胃溃疡,3,探讨中西医结合疗法治疗胃溃疡的效果
胃溃疡,4,中西医结合治疗胃溃疡疗效分析
胃溃疡,5,中西医结合治疗胃溃疡的效果及安全性分析
胃溃疡,6,中西医结合治疗胃溃疡的疗效观察
胃溃疡,7,中西医结合治疗慢性胃溃疡临床分析
脑血管病,1,中西医结合治疗脑血管病所致抑郁的临床效果观察
脑血管病,2,中西医结合治疗老年人心脑血管病用药研究
脑血管病,3,中西医结合综合治疗脑血管病顽固性呃逆的临床效果观察
脑血管病,4,老年脑血管病顽固性呃逆的中西医结合治疗及护理干预
髌骨软化症,1,髌骨软化症中西医治疗进展
宫内组织残留,1,超声检查在中西医结合治疗宫内组织残留疗效评价中的应用
结肠癌,1,中西医结合治疗对中晚期结肠癌患者生活质量的影响
结肠癌,2,中西医结合治疗晚期结肠癌的临床疗效
脑出血,1,脑出血急性期中西医结合治疗对患者康复的影响
脑出血,2,中西医结合治疗脑出血急性期脑损伤疗效分析
脑出血,3,中西医结合治疗脑出血的疗效分析与研究
脑出血,4,中西医结合医护措施对急诊高血压脑出血患者血肿吸收及神经功能恢复影响
脑出血,5,中西医结合疗法应用于脑出血急性期治疗中的临床效果观察
脑出血,6,中西医结合疗法在脑出血急性期治疗中的应用
脑出血,7,中西医结合方法治疗高血压脑出血的效果
脑出血,8,脑出血显微术后患者应用中西医结合护理干预对其康复的临床效果
脑出血,9,中西医结合治疗脑动脉瘤破裂后脑出血的疗效及安全性评价
脑出血,10,中医治疗高血压性脑出血研究进展
脑出血,11,中西医结合治疗急性脑出血康复的临床观察
小儿肠系膜淋巴结炎,1,中药辅助抗菌药治疗小儿肠系膜淋巴结炎的Meta分析
脑缺血,1,中西医结合治疗短暂性脑缺血发作的疗效观察
十二指肠球部溃疡,1,中西医结合治疗十二指肠球部溃疡并出血的临床疗效研究
十二指肠球部溃疡,2,中西医结合治疗十二指肠球部溃疡活动期临床观察
脂溢性皮炎,1,中西医结合治疗面部脂溢性皮炎60例
食管炎,1,中西医结合治疗反流性食管炎临床研究
食管炎,2,探讨中西医结合治疗反流性食管炎的临床有效性
食管炎,3,急性放射性食管炎临床研究进展
新生儿硬肿症,1,中西医结合治疗及护理新生儿硬肿症的疗效观察
关节结核,1,中西医结合护理活动性关节结核患者的体会
狼疮性肾炎,1,狼疮性肾炎的中西医结合分期治疗最新进展
狼疮性肾炎,2,益肾化湿颗粒联合吗替麦考酚酯治疗狼疮性肾炎效果观察
狼疮性肾炎,3,狼疮性肾炎的中西医结合治疗进展
狼疮性肾炎,4,中西医结合治疗狼疮性肾炎的系统评价
Coats病,1,中西医结合治疗成年Coats病1例
青光眼,1,中西医结合协同护理模式对青光眼术后患者自我护理能力和生活质量影响
青光眼,2,益气活血汤结合西药治疗青光眼术后疗效观察
青光眼,3,中西医结合治疗青光眼视神经萎缩疗效观察
青光眼,4,中西医结合治疗青光眼-睫状体炎综合征临床分析
桥本甲状腺炎,1,中西医结合治疗桥本甲状腺炎临床研究
丹毒,1,中西医结合治疗下肢丹毒回顾性研究
丹毒,2,复方银翘解毒合剂治疗水疱性丹毒的疗效分析
丹毒,3,中西医结合治疗丹毒60例的对比研究
结直肠癌,1,中医药治疗Ⅳ期结直肠癌中医证候及用药规律文献研究
结直肠癌,2,中西医结合治疗中晚期结直肠癌临床观察
结直肠癌,3,中医药辅助治疗结直肠癌研究进展
结直肠癌,4,中医综合治疗干预Ⅲ-Ⅳ期结直肠癌的临床研究
口腔溃疡,1,基于消化道相关性口腔溃疡的中西医临床研究
口腔溃疡,2,对复发性口腔溃疡患者进行中西医结合治疗的效果研究
口腔溃疡,3,中西医结合治疗复发性口腔溃疡疗效探究
口腔溃疡,4,中西医结合治疗复发性口腔溃疡疗效观察
口腔溃疡,5,中西医结合治疗复发性口腔溃疡的临床分析
口腔溃疡,6,中西医结合治疗复发性口腔溃疡的临床观察
口腔溃疡,7,中西医结合治疗口腔溃疡的临床效果分析
口腔溃疡,8,中西医结合治疗复发性口腔溃疡临床观察
口腔溃疡,9,中西医结合治疗复发性口腔溃疡的临床分析
口腔溃疡,10,中西医结合治疗牙龈癌术后口腔溃疡64例
口腔溃疡,11,复发性口腔溃疡的中西医结合治疗临床观察
口腔溃疡,12,探讨中西医结合治疗复发性口腔溃疡的临床效果
口腔溃疡,13,中西医结合治疗口腔溃疡的临床效果分析
口腔溃疡,14,中西医结合治疗口腔溃疡的应用价值
鼻后滴漏综合征,1,中西医结合治疗鼻后滴漏综合征的临床观察
鼻后滴漏综合征,2,中西医结合治疗儿童鼻后滴漏综合征42例临床观察
烧伤,1,中西医结合治疗烧伤残余创面临床观察
烧伤,2,中西医结合治疗深度烧伤后残余创面的临床观察
阑尾周围脓肿,1,102例阑尾周围脓肿中西医结合治疗的临床观察
阑尾周围脓肿,2,中西医结合治疗湿热内蕴型阑尾周围脓肿69例疗效观察
阑尾周围脓肿,3,中西医方案治疗阑尾周围脓肿的疗效观察
阑尾周围脓肿,4,中西医结合治疗阑尾周围脓肿的疗效观察
阑尾周围脓肿,5,中西医结合治疗阑尾周围脓肿24例临床疗效观察
人工髋关节置换术相关疾病,1,人工髋关节置换术后中西医结合康复护理效果研究
扁桃体炎,1,浅析中西医结合疗法治疗急性化脓性扁桃体炎的临床效果
扁桃体炎,2,中医药防治成人急性扁桃体炎的优势与证据
扁桃体炎,3,中西医结合治疗急性扁桃体炎个案举例
扁桃体炎,4,中医药治疗小儿急性扁桃体炎的进展
扁桃体炎,5,中西医结合治疗小儿化脓性扁桃体炎风热蕴结证疗效观察
脑病,1,"四十年磨一剑,中西医结合硕果丰——湖南省中医研究院附属医院脑病工作简介"
脑病,2,中西医结合治疗急性一氧化碳中毒迟发性脑病的疗效
脑病,3,中西医结合治疗一氧化碳中毒所致迟发性脑病临床研究
脑病,4,中西医结合及早期康复训练治疗新生儿缺氧缺血性脑病疗效观察
脑病,5,狼疮脑病的临床治疗概述
心衰,1,中西医结合治疗对慢性心衰患者心功能的影响
心衰,2,宣肺行水汤联合西药治疗慢性肺心病急性加重期合并心衰随机平行对照研究
心衰,3,中西医结合治疗心衰的疗效研究
宫颈炎,1,中西医结合治疗慢性宫颈炎的临床疗效及安全性分析
宫颈炎,2,中西医结合治疗慢性宫颈炎合并人乳头瘤病毒感染疗效观察
宫颈炎,3,中西医结合治疗非淋病性宫颈炎的临床观察
宫颈炎,4,中西医结合治疗湿热下注型宫颈炎疗效观察
肛肠病,1,中西医结合治疗肛肠病术后便秘40例
肛肠病,2,中西医结合治疗肛肠病术后疼痛临床研究
肛肠病,3,肛肠病术后并发症的中西医结合治疗
肛肠病,4,中西医结合治疗肛肠病术后疼痛临床研究
肛肠病,5,中西医结合防治肛肠病术后疼痛护理分析
周围神经病变,1,中西医结合治疗奥沙利铂所致周围神经病变30例临床观察
周围神经病变,2,中西医结合治疗糖尿病周围神经病变临床研究
周围神经病变,3,中西医结合治疗糖尿病周围神经病变疗效观察
周围神经病变,4,中西医结合疗法在糖尿病周围神经病变中的应用效果研究
周围神经病变,5,当归四逆汤加味联合西药治疗糖尿病周围神经病变45例
周围神经病变,6,糖尿病周围神经病变的中西医研究进展
周围神经病变,7,中西医结合疗法治疗糖尿病周围神经病变疗效观察
周围神经病变,8,中西医结合治疗糖尿病周围神经病变的临床疗效
周围神经病变,9,中西医结合治疗糖尿病周围神经病变100例
肾小球肾炎,1,中西医结合治疗脾肾气虚型慢性肾小球肾炎28例
肾小球肾炎,2,中西医结合治疗慢性肾小球肾炎临床观察
肾小球肾炎,3,66例慢性肾小球肾炎患者中医辨证分型治疗的护理体会
肾小球肾炎,4,评价中西医结合方法治疗脾肾两虚型慢性肾小球肾炎的效果
肾小球肾炎,5,中西医结合治疗局灶节段硬化性肾小球肾炎临床分析
荨麻疹,1,中西医结合治疗慢性荨麻疹42例临床观察
荨麻疹,2,慢性难治性荨麻疹的诊断及治疗策略
荨麻疹,3,中西医结合治疗顽固性人工荨麻疹38例临床观察
荨麻疹,4,小儿荨麻疹应用中西医结合治疗的有效方法研究
荨麻疹,5,中西医结合疗法对难治性慢性特发性荨麻疹患者血清总IgE、CD4、CD8等细胞因子影响的相关性研究
